WS,Element
Cluster_Cartagena_Manga,CAR.Bco Popular-1_R1
Cluster_Cartagena_Manga,CAR.Bco Popular-1_R2
Cluster_Cartagena_Manga,CAR.Bco Popular-1_L1
Cluster_Cartagena_Manga,CAR.Bco Popular-1_T1
Cluster_Cartagena_Manga,CAR.Bco Popular-2_R1
Cluster_Cartagena_Manga,CAR.Bco Popular-2_R2
Cluster_Cartagena_Manga,CAR.Bco Popular-2_R3
Cluster_Cartagena_Manga,CAR.Bco Popular-2_L1
Cluster_Cartagena_Manga,CAR.Bco Popular-2_L2
Cluster_Cartagena_Manga,CAR.Bco Popular-2_L3
Cluster_Cartagena_Manga,CAR.Bco Popular-2_T1
Cluster_Cartagena_Manga,CAR.Bco Popular-2_T2
Cluster_Cartagena_Manga,CAR.Bco Popular-2_T3
Cluster_Cartagena_Manga,CAR.Bocagrande-8_R1
Cluster_Cartagena_Manga,CAR.Bocagrande-8_R3
Cluster_Cartagena_Manga,CAR.Bocagrande-8_L1
Cluster_Cartagena_Manga,CAR.Bocagrande-8_L3
Cluster_Cartagena_Manga,CAR.Bocagrande-8_T1
Cluster_Cartagena_Manga,CAR.Bocagrande-8_T3
Cluster_Cartagena_Manga,CAR.Getsemani_R1
Cluster_Cartagena_Manga,CAR.Getsemani_R2
Cluster_Cartagena_Manga,CAR.Getsemani_R3
Cluster_Cartagena_Manga,CAR.Getsemani_L1
Cluster_Cartagena_Manga,CAR.Getsemani_L2
Cluster_Cartagena_Manga,CAR.Getsemani_L3
Cluster_Cartagena_Manga,CAR.Getsemani_T1
Cluster_Cartagena_Manga,CAR.Getsemani_T2
Cluster_Cartagena_Manga,CAR.Getsemani_T3
Cluster_Cartagena_Manga,CAR.Manga_R1
Cluster_Cartagena_Manga,CAR.Manga_R2
Cluster_Cartagena_Manga,CAR.Manga_R3
Cluster_Cartagena_Manga,CAR.Manga_L1
Cluster_Cartagena_Manga,CAR.Manga_L2
Cluster_Cartagena_Manga,CAR.Manga_L3
Cluster_Cartagena_Manga,CAR.Manga_T1
Cluster_Cartagena_Manga,CAR.Manga_T2
Cluster_Cartagena_Manga,CAR.Manga_T3
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_R1
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_R2
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_R3
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_L1
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_L2
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_L3
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_T1
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_T2
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_T3
Cluster_Cartagena_Manga,CAR.Getsemani_M1
Cluster_Cartagena_Manga,CAR.Getsemani_M2
Cluster_Cartagena_Manga,CAR.Getsemani_M3
Cluster_Cartagena_Manga,CAR.Bco Popular-1_M1
Cluster_Cartagena_Manga,CAR.Bco Popular-1_M2
Cluster_Cartagena_Manga,CAR.Bco Popular-1_M3
Cluster_Cartagena_Manga,CAR.Bco Popular-2_M1
Cluster_Cartagena_Manga,CAR.Bco Popular-2_M2
Cluster_Cartagena_Manga,CAR.Bco Popular-2_M3
Cluster_Cartagena_Manga,CAR.Bocagrande-8_M1
Cluster_Cartagena_Manga,CAR.Bocagrande-8_M2
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_M1
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_M2
Cluster_Cartagena_Manga,CAR.Sociedad Portuaria_M3
Cluster_Cartagena_Manga,CAR.Manga_M1
Cluster_Cartagena_Manga,CAR.Manga_M2
Cluster_Cartagena_Manga,CAR.Manga_M3
