WS,Element
Sesion5,BAR.Aguila_L2
Sesion5,BAR.Batalla de Flores-3 (P1)_M5
Sesion5,BAR.Calle 17_T2
Sesion5,BAR.Club Caujaral_T1
Sesion5,BAR.El Golf_L1
Sesion5,BAR.Exito-2 (P2)_T1
Sesion5,BAR.Gracetales_M4
Sesion5,BAR.RB Campestre_T3
Sesion5,BAR.RB Granabastos:H1_M3
Sesion5,BAR.RB Macarena (P2)_T2
Sesion5,BAR.Rb Paraiso Romano:H1_L2
Sesion5,BAR.Uninorte-2 (P1)_T2
Sesion5,BAR.Villa Estadio_L1
Sesion5,BOL.Carmen Bolivar-3_L2
Sesion5,BOL.Guamo_M3
Sesion5,BOL.Mompox-4_M2
Sesion5,BOL.Santa Catalina_M3
Sesion5,CAR.Cartagenita_L2
Sesion5,CAR.Mamonal-2 (P1)_T1
Sesion5,CAR.Muelles El Bosque (P1)_L2
Sesion5,CAR.Recreo_L2
Sesion5,CAR.San Fernando_R1
Sesion5,CAR.Santa Lucia-2_T1
Sesion5,CAR.Simon Bolivar-3_M3
Sesion5,BAR.Aeropuerto_R2
Sesion5,BAR.Altos del Limonar_L2
Sesion5,BAR.Boulevard 59 (P1)_T2
Sesion5,BAR.Carrera 8_T2
Sesion5,BAR.Centro Civico:H3_T3
Sesion5,BAR.Ciudadela_L2
Sesion5,BAR.Flexotar_L1
Sesion5,BAR.IND CAV Metropolitano_L1
Sesion5,BAR.Las Cometas_M1
Sesion5,BAR.Prado-1_L3
Sesion5,BAR.Price Smart (P1)_L1
Sesion5,BAR.RB Soledad Centro:H2_M1
Sesion5,BAR.Tabor_L3
Sesion5,BAR.Terminal_L3
Sesion5,BAR.Zona Franca Cayenas_M1
Sesion5,BOL.Boquilla_L1
Sesion5,BOL.Cruz Viso_T1
Sesion5,BOL.Macayepo_T1
Sesion5,BOL.Mompox-2_L2
Sesion5,CAR.Barcelona:H2_T3
Sesion5,CAR.CC Las Americas_T2
Sesion5,CAR.Cadetes (P1)_L1
Sesion5,CAR.IND Falabella_M1
Sesion5,CAR.La Princesa_L3
Sesion5,CAR.La Vitrola Reub II_T1
Sesion5,CAR.Tamarindo-3_R1
Sesion5,BAR.Altos de Riomar-2 (P1)_M3
Sesion5,BAR.CCM:H2_L1
Sesion5,BAR.Calle 30-2 H2_T2
Sesion5,BAR.Carrera 46_T2
Sesion5,BAR.Carulla 72_M3
Sesion5,BAR.Circunvalar-2 (P1)_L1
Sesion5,BAR.Concepcion_M8
Sesion5,BAR.Concretos (P1)_T2
Sesion5,BAR.Esmeralda_R2
Sesion5,BAR.IND CAV Mall Plaza_M1
Sesion5,BAR.Policia Nacional_R2
Sesion5,BAR.Portal del Prado-2_M9
Sesion5,BAR.RB Carrizal_T4
Sesion5,BAR.RB Puerta del Sol (P2)_T2
Sesion5,BAR.Roberto Melendez (P3)_L3
Sesion5,BAR.Soledad-5_T1
Sesion5,BAR.Urbaplaya_R3
Sesion5,BAR.Villa Luz_R1
Sesion5,BOL.Maria la Baja-3_T2
Sesion5,CAR.Barcelona:H1_T1
Sesion5,CAR.Barcelona:H2_L2
Sesion5,CAR.Cartagenita_M2
Sesion5,CAR.Cementerio-2_M2
