WS,Element
Adicional2,BUC.Acropolis_R3
Adicional2,BOG.Las Ferias-1_L1
Adicional2,HUI.Guadalupe_L1
Adicional2,BOG.Tintal-2_R3
Adicional2,SND.San Andres_T2
Adicional2,FLO.Batallon_L1
Adicional2,TOL.Sumapaz_M2
Adicional2,BOG.Gelsa Salitre_T1
Adicional2,BOY.Boyaca_L2
Adicional2,HUI.Guadalupe_M1
Adicional2,BOG.Tintal-2_R2
Adicional2,BOG.Modelo Sur-2_L3
Adicional2,NOR.Ecopetrol Tibu_T3
Adicional2,BOG.Arcadia_L1
Adicional2,BOG.Macarena:P1_L1
Adicional2,HUI.Campo Alegre_L1
Adicional2,BOG.IND Asistencia Bolivar T2_L1
Adicional2,CAU.Yapura_M1
Adicional2,CUN.La Vega_L1
Adicional2,BOG.Galan-2_M3
Adicional2,BOG.Suba-1_M1
Adicional2,BUC.Acropolis_R1
Adicional2,DUI.Colombia_M1
Adicional2,MET.San Martin-2_M4
Adicional2,BOG.Paloquemao-1_L4
Adicional2,BOY.Boyaca_T2
Adicional2,FLO.Ciudadela_M6
Adicional2,BOG.12 de Octubre_T3
Adicional2,BUC.Acropolis_L3
Adicional2,CAS.Villa Nueva-7_L2
Adicional2,BOG.Parque Milenio_M3
Adicional2,TOL.Sumapaz_T2
Adicional2,BOG.11 de Noviembre_L1
Adicional2,HUI.Campo Alegre_M2
Adicional2,BOG.Torre Argos_L1
Adicional2,SND.San Andres_L2
Adicional2,CUC.Quintaboch_L1
Adicional2,BOG.CAV Cedritos_L1
Adicional2,ARA.Saravena_M1
Adicional2,BOG.Las Ferias-1_M3
Adicional2,BOG.11 de Noviembre_L2
Adicional2,CAQ.Doncello-2_M1
Adicional2,CUC.San Luis-2_T3
Adicional2,IBG.Rb Salado-2_T1
Adicional2,BOY.Maripi_M1
Adicional2,DUI.Colombia_T1
Adicional2,DUI.Juan Grande_T1
Adicional2,FLO.Via Neiva_T2
Adicional2,PUT.La Pedregosa_M2
Adicional2,BOG.Bodegas Franco_R3
Adicional2,DUI.Colombia_L2
Adicional2,BOG.Arcadia_L2
Adicional2,BUC.Acropolis_T2
Adicional2,CAU.Yapura_M2
Adicional2,NOR.Ecopetrol Tibu_T2
Adicional2,ARA.Saravena_T3
Adicional2,BOG.Navarra-1_M3
Adicional2,CAQ.Pto Rico-2_M6
Adicional2,CAS.Villa Nueva-7_M3
Adicional2,HUI.Club Neiva_M3
Adicional2,HUI.La Arcadia_M2
Adicional2,BOG.Modelo Sur-2_T1
Adicional2,BOG.San Martin_T5
Adicional2,BOG.Suba-1_M3
Adicional2,MET.Acacias-4_L1
Adicional2,BOG.Centro Narino_L1
Adicional2,BOG.IND Hotel Dann Cll103_L2
Adicional2,BOG.La Fragua_L3
Adicional2,IBG.Rb Salado-2_M4
Adicional2,SJG.San Jose-8_M2
Adicional2,SND.San Andres_M1
Adicional2,BOG.Bodegas Franco_R1
Adicional2,BOG.San Martin_M2
Adicional2,BOG.Centro Narino_T1
Adicional2,BOG.Parque 93-2_T1
Adicional2,SJG.San Jose-8_L3
Adicional2,HUI.San Antonio_M2
Adicional2,BOG.Galan-2_L2
Adicional2,BOG.Macarena:P1_M1
Adicional2,HUI.Gallardo_R1
Adicional2,BOG.Las Ferias-1_L2
Adicional2,BOG.San Martin_L5
Adicional2,BOG.San Martin_T4
Adicional2,HUI.San Agustin_M4
Adicional2,HUI.San Antonio_M1
Adicional2,ANT.ECP Penas Blancas_M3
Adicional2,BOG.IND Campin_L4
Adicional2,BOG.La Fragua_T1
Adicional2,BOG.Las Ferias-1_R3
Adicional2,BOG.Parque Milenio_L2
Adicional2,BOG.Arcadia_M3
Adicional2,BOG.12 de Octubre_T1
Adicional2,SJG.San Jose-8_L2
Adicional2,BOG.Parque 93-2_M2
Adicional2,BOG.Parque 93-2_M2
Adicional2,DUI.Juan Grande_T3
Adicional2,HUI.Campo Alegre_L3
Adicional2,TUN.la Maria:H1_L1
Adicional2,DUI.Ciudadela Industrial_T3
Adicional2,BOG.San Martin_M5
Adicional2,BOG.IND Campin_L9
Adicional2,MET.San Martin-2_M1
Adicional2,MET.San Martin-2_T3
Adicional2,BOG.San Martin_M1
Adicional2,FLO.Ciudadela_T3
Adicional2,BOG.IND Hotel Dann Cll103_L1
Adicional2,BOG.Paloquemao-1_L1
Adicional2,BOG.San Facon_M1
Adicional2,CUC.Quintaboch_T1
Adicional2,HUI.Club Neiva_L1
Adicional2,BOG.Galan-2_M4
Adicional2,BOG.La Fragua_T2
Adicional2,BOG.Modelo Sur-2_M2
Adicional2,BOG.11 de Noviembre_M2
Adicional2,HUI.San Agustin_L1
Adicional2,BOG.La Fragua_L2
Adicional2,BOG.Navarra-1_L1
Adicional2,BOG.La Fragua_M3
Adicional2,BOG.Galan-2_T3
Adicional2,BOG.La Fragua_M2
Adicional2,DUI.Colombia_T2
Adicional2,FLO.Batallon_M2
Adicional2,ARA.Saravena_T1
Adicional2,BOG.TM Ricaurte NQS_L1
Adicional2,FLO.Batallon_T3
Adicional2,BUC.Mejoras Publicas_L1
Adicional2,BOG.IND Campin_L5
Adicional2,BOG.Tintal-2_L2
Adicional2,CUC.San Luis-2_T2
Adicional2,FLO.Batallon_M3
Adicional2,MET.San Martin-2_L2
