WS,Element
EyN_Calle30,BAR.Calle 30-2 H2
EyN_PuntaRoca,ATL.Punta Roca
EyN_Chambacu,CAR.Chambacu
EyN_Cerete,COR.Cerete-8
EyN_AltoPrado,BAR.Alto Prado
EyN_FrancaCayenas,BAR.Zona Franca Cayenas
1_BAR03,BAR.Esmeralda-2 (P1)
1_BAR03,BAR.Esmeralda-2 (P2)
1_BAR03,BAR.Temp Nueva Esperanza
1_BAR03,BAR.RB Macarena (P4)
1_BAR03,BAR.Americas
1_BAR03,BAR.Cevillar
1_BAR03,BAR.RB Macarena (P2)
2_BAR01,BAR.Villa Argelia
2_BAR01,BAR.Aeropuerto-2
2_BAR01,BAR.Concord
2_BAR01,BAR.Ciudad Paraiso
2_BAR01,BAR.Granabastos-2
3_BAR01,BAR.Villa Luz
3_BAR01,BAR.Soledad-5
3_BAR01,BAR.RB Paraiso Romano:H1
3_BAR01,BAR.TMP RB Paraiso Romano
3_BAR01,BAR.SDS Soledad
3_BAR01,BAR.Soledad 2000
3_BAR01,BAR.RB Soledad Centro:H2
3_BAR01,BAR.Aeropuerto-3
3_BAR01,BAR.Plaza de Soledad
4_BAR02,BAR.Universal
4_BAR02,BAR.Boulevard Simon (P1)
4_BAR02,BAR.Policia Nacional
4_BAR02,BAR.Calle 30-3 (P1)
4_BAR02,BAR.RB Carrizal
5_BAR09_T3,ATL.Pto Colombia
5_BAR09_T3,ATL.Puerto Colombia-2
5_BAR09_T3,ATL.Ye de los Chinos
6_CAR01_T2,CAR.IND Radisson
6_CAR01_T2,CAR.CC Las Americas
6_CAR01_T2,CAR.Morros
6_CAR01_T2,CAR.Barcelona:H2
7_STA_T2,STA.Bello Horizonte
7_STA_T2,STA.Irotama Out:P1
8_CAR03_T3,CAR.RB Crespo
8_CAR03_T3,CAR.Torices
8_CAR03_T3,CAR.San Francisco-2
100_Caracoli,ATL.Caracoli
100_Caracoli,BAR.Carrera 8
100_Caracoli,BAR.Buenos Aires
100_Caracoli,BAR.RB Trinidad
100_Caracoli,CAR.Manga-3
100_Caracoli,CAR.Contadora
101_Carrizal,BAR.Carrizal-2
101_Carrizal,BAR.Metropolitano-2
101_Carrizal,BAR.Las Cayenas (P1)
101_Carrizal,BAR.Los Loteros-2 Reub
101_Carrizal,BAR.Velodromo
102_Malambo,ATL.Malambo
102_Malambo,ATL.Malambo-3
102_Malambo,ATL.Pimsa
102_Malambo,ATL.Malambo-2
103_BAR09_T3,BAR.Price Smart (P1)
103_BAR09_T3,BAR.Altos del Limonar-2 (P1)
103_BAR09_T3,BAR.Buenavista-4 (P1)
103_BAR09_T3,BAR.Uninorte
103_BAR09_T3,BAR.Pelu
103_BAR09_T3,BAR.Urbaplaya
104_Turbana,BOL.Turbana
105_Bocagrande,CAR.Bocagrande-2
105_Bocagrande,CAR.Bocagrande-2:P1
105_Bocagrande,CAR.Hilton:P1
105_Bocagrande,CAR.Caracucha
106_AvVenezuela,CAR.Av Venezuela:P1
106_AvVenezuela,CAR.Bocagrande
106_AvVenezuela,CAR.Bocagrande-2:P2
107_BAR03,BAR.Juan Mina
107_BAR03,BAR.Circunvalar-1 (P1)
107_BAR03,BAR.El Bosque
107_BAR03,BAR.Silencio (P1)
107_BAR03,BAR.Esmeralda
107_BAR03,BAR.Silencio:H2
107_BAR03,BAR.Circunvalar-3 (P1)
107_BAR03,BAR.Santamaria
112_BAR02_BAR03,BAR.La Magdalena
112_BAR02_BAR03,BAR.Metrocentro
112_BAR02_BAR03,BAR.Sena
112_BAR02_BAR03,BAR.Zona Franca-2
112_BAR02_BAR03,BAR.Nueva Colombia (P1)
112_BAR02_BAR03,BAR.Vivero
EyN_IndiaCatalina,CAR.India Catalina
109_CAR02_03_2,CAR.Av Venezuela:P2
109_CAR02_03_2,CAR.Castillo Grande
109_CAR02_03_2,CAR.Complejo Raquetas
108_CAR06_1,CAR.Paraiso
108_CAR06_1,CAR.Olaya-2
108_CAR06_1,CAR.Castellana
111_CAR09_1,CAR.Cotecmar
111_CAR09_1,CAR.Mamonal-2 (P1)
110_Uninorte2,BAR.Uninorte-2
10_BAR_Aeropuerto,BAR.Aeropuerto
10_BAR_Aeropuerto,BAR.Granabastos-3
10_BAR_Aeropuerto,BAR.Soledad-8
10_BAR_Aeropuerto,BAR.RB Los Loteros:H1
10_BAR_Aeropuerto,BAR.RB La Candelaria
11_BAR_Trupillos,BAR.RB Termobarranquilla
11_BAR_Trupillos,BAR.RB Los Trupillos:H1
12_BAR_Sourdis,BAR.Colinas Campestres (P1)
12_BAR_Sourdis,BAR.Sourdis
12_BAR_Sourdis,BAR.Esperanza
12_BAR_Sourdis,BAR.Temp Terrazas
13_CAR_Barcelona,CAR.Barcelona:H1
13_CAR_Barcelona,CAR.Laguna Club (P2)
14_CAR_Crespo,CAR.Las Americas-2
14_CAR_Crespo,CAR.Crespo-2
14_CAR_Crespo,CAR.CRESPO-2 (P2)
14_CAR_Crespo,CAR.ETCS Telmex
14_CAR_Crespo,CAR.Pie del Cerro
14_CAR_Crespo,CAR.La Quinta
14_CAR_Crespo,CAR.Crespo-3
15_CAR_Recreo,CAR.Contadora-2
15_CAR_Recreo,CAR.El Conde
15_CAR_Recreo,CAR.Pozon-2
15_CAR_Recreo,CAR.Santa Lucia-2
15_CAR_Recreo,CAR.RB Palmeras
15_CAR_Recreo,CAR.Plazuela
15_CAR_Recreo,CAR.Recreo
15_CAR_Recreo,CAR.Recreo-2
16_CAR_Mamonal,CAR.Mamonal-8
16_CAR_Mamonal,CAR.Mamonal-3 Reub
16_CAR_Mamonal,CAR.Mamonal-6:H1
16_CAR_Mamonal,CAR.Mamonal-2
17_BOL_Turbaco,BOL.Turbaco-2
17_BOL_Turbaco,BOL.Turbaco-5
18_BAR_Caujaral,BAR.Caujaral
18_BAR_Caujaral,BAR.Club Caujaral
18_BAR_Caujaral,ATL.Prado Mar
18_BAR_Caujaral,ATL.Rb Salgar
19_BOL_Baru,BOL.Puerto Naito
19_BOL_Baru,BOL.Baru Nuevo
20_BAR_Calle30,BAR.Villa Estadio
20_BAR_Calle30,BAR.Calle 30
20_BAR_Calle30,BAR.RB Soledad-1
21_CAR_PtoMamonal,CAR.IND Puerto Mamonal
21_CAR_PtoMamonal,CAR.Ladrillera La Clay
21_CAR_PtoMamonal,BOL.Matute
22_ATL_Baranoa,ATL.Campeche
22_ATL_Baranoa,ATL.Baranoa-2
22_ATL_Baranoa,ATL.Baranoa
22_ATL_Baranoa,ATL.IND ExxonMobil
23_CAR_Americas,CAR.Las Americas
24_BAR_Terminal,BAR.Terminal
25_BAR_Estadio,BAR.Estadio-1
25_BAR_Estadio,BAR.Velodromo (P1)
25_BAR_Estadio,BAR.RB Estadio-1:H1
26_CAR_Manga,CAR.Bco Popular-2
26_CAR_Manga,CAR.Bocagrande-8
26_CAR_Manga,CAR.Bco Popular-1
26_CAR_Manga,CAR.Manga
26_CAR_Manga,CAR.Sociedad Portuaria
26_CAR_Manga,CAR.Getsemani
27_EyN_BaseNaval,CAR.Rb Base Naval
28_MAG_Cienaga,MAG.Cienaga-3
29_EyN_Bazurto,CAR.Bazurto
30_STA_Mamatoco,STA.11 de Noviembre
30_STA_Mamatoco,STA.Equidad
30_STA_Mamatoco,STA.Mamatoco
30_STA_Mamatoco,STA.La Troncal
31_STA_Aeropuerto,STA.Aeropuerto
32_CAR_CACBocagrande,CAR.Conquistador
32_CAR_CACBocagrande,CAR.CAC Bocagrande
32_CAR_CACBocagrande,CAR.Marbella
33_BOL_Pontezuela,BOL.Pontezuela
34_MON_Boston,MON.Boston
34_MON_Boston,MON.Bavaria
35_CAR_Tamarindo,CAR.Tamarindo-3
35_CAR_Tamarindo,CAR.Mamonal-10
36_CAR_Perimetral,CAR.Perimetral Reub
36_CAR_Perimetral,CAR.Manga-4
36_CAR_Perimetral,CAR.Calamares
36_CAR_Perimetral,CAR.Universitario
BAR02_Robles,BAR.Circunvalar-2 (P1)
BAR02_Robles,BAR.Los Robles
BAR02_Robles,BAR.Robles-2
BAR02_Robles,BAR.RB Helena
BAR02_Robles,BAR.Simon Bolivar-2
BAR02_Robles,BAR.Zona Franca
BAR02_Robles,BAR.Centro Civico:H3
BAR03_Cannon,BAR.Pueblito
BAR03_Cannon,BAR.Alfonso Lopez
BAR03_Cannon,BAR.Rb San Isidro
BAR03_Cannon,BAR.RB Cannon
CAR06_Cordialidad,CAR.Cordialidad
CAR06_Cordialidad,CAR.El Pozon
CAR06_Cordialidad,CAR.Cordialidad-2
CAR06_Cordialidad,CAR.Paraiso-2
CAR06_Cordialidad,CAR.Olaya
CAR06_Cordialidad,CAR.Los Alpes
CAR06_Cordialidad,CAR.Ejecutivos
CAR06_Cordialidad,CAR.Terminal-2
CAR06_StaLucia,CAR.Santa Lucia
CAR06_StaLucia,CAR.Palmeras-2
CAR08_Tamarindo,CAR.Cementerio
CAR08_Tamarindo,CAR.La Princesa
CAR08_Tamarindo,CAR.Tamarindo-2
CAR08_Tamarindo,CAR.San Fernando
CAR08_Tamarindo,CAR.UTB
CAR08_Tamarindo,CAR.Simon Bolivar-3
CAR08_Tamarindo,CAR.Tamarindo
CAR08_Ternera,CAR.Ternera
EyN_1Mayo-2,VAD.1 de Mayo-2
EyN_PuntaCanoa,CAR.Punta Canoa
MAG_Ariguani,MAG.Ariguani
RIO_Aeropuerto,RIO.Aeropuerto
